Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,
TIME,HR,CPM,TIME,HR,CPM,TIME,HR,CPM,
2019-06-15 20-29-57,121,0,2019-06-15 20-29-57,155,0,2019-06-15 20-29-57,149,0,
2019-06-15 20-29-58,121,0,2019-06-15 20-29-58,155,0,2019-06-15 20-29-58,152,0,
2019-06-15 20-29-59,121,0,2019-06-15 20-29-59,156,0,2019-06-15 20-29-59,151,0,
2019-06-15 20-30-00,120,0,2019-06-15 20-30-00,156,0,2019-06-15 20-30-00,151,0,
2019-06-15 20-30-01,119,0,2019-06-15 20-30-01,155,0,2019-06-15 20-30-01,151,0,
2019-06-15 20-30-02,118,0,2019-06-15 20-30-02,156,0,2019-06-15 20-30-02,150,0,
2019-06-15 20-30-03,120,0,2019-06-15 20-30-03,156,0,2019-06-15 20-30-03,150,0,
2019-06-15 20-30-04,121,0,2019-06-15 20-30-04,157,0,2019-06-15 20-30-04,150,0,
2019-06-15 20-30-05,123,0,2019-06-15 20-30-05,157,0,2019-06-15 20-30-05,150,0,
2019-06-15 20-30-06,125,0,2019-06-15 20-30-06,157,0,2019-06-15 20-30-06,154,0,
2019-06-15 20-30-07,126,0,2019-06-15 20-30-07,157,0,2019-06-15 20-30-07,157,0,
2019-06-15 20-30-08,125,0,2019-06-15 20-30-08,157,0,2019-06-15 20-30-08,160,0,
2019-06-15 20-30-09,124,0,2019-06-15 20-30-09,157,0,2019-06-15 20-30-09,162,0,
2019-06-15 20-30-10,124,0,2019-06-15 20-30-10,157,0,2019-06-15 20-30-10,163,0,
2019-06-15 20-30-11,125,0,2019-06-15 20-30-11,157,0,2019-06-15 20-30-11,165,0,
2019-06-15 20-30-12,124,0,2019-06-15 20-30-12,157,0,2019-06-15 20-30-12,167,0,
2019-06-15 20-30-13,123,0,2019-06-15 20-30-13,157,0,2019-06-15 20-30-13,167,0,
2019-06-15 20-30-14,123,0,2019-06-15 20-30-14,157,0,2019-06-15 20-30-14,166,0,
2019-06-15 20-30-15,125,0,2019-06-15 20-30-15,157,0,2019-06-15 20-30-15,166,0,
2019-06-15 20-30-16,126,0,2019-06-15 20-30-16,157,0,2019-06-15 20-30-16,166,0,
2019-06-15 20-30-17,125,0,2019-06-15 20-30-17,157,0,2019-06-15 20-30-17,166,0,
2019-06-15 20-30-18,127,0,2019-06-15 20-30-18,158,0,2019-06-15 20-30-18,166,0,
2019-06-15 20-30-19,129,0,2019-06-15 20-30-19,160,0,2019-06-15 20-30-19,166,0,
2019-06-15 20-30-20,130,0,2019-06-15 20-30-20,160,0,2019-06-15 20-30-20,166,0,
2019-06-15 20-30-21,131,0,2019-06-15 20-30-21,160,0,2019-06-15 20-30-21,166,0,
2019-06-15 20-30-22,131,0,2019-06-15 20-30-22,160,0,2019-06-15 20-30-22,166,0,
2019-06-15 20-30-23,132,0,2019-06-15 20-30-23,160,0,2019-06-15 20-30-23,166,0,
