Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,
TIME,HR,CPM,TIME,HR,CPM,TIM,HR,CPM,TIME,HR,CPM,
2019-06-12 10-59-29,112,0,2019-06-12 10-59-28,130,0,2019-06-12 10-59-28,128,0,2019-06-12 10-59-29,111,0,
2019-06-12 10-59-30,116,0,2019-06-12 10-59-29,130,0,2019-06-12 10-59-29,128,0,2019-06-12 10-59-30,113,0,
2019-06-12 10-59-31,119,0,2019-06-12 10-59-30,130,0,2019-06-12 10-59-30,129,0,2019-06-12 10-59-31,115,0,
2019-06-12 10-59-32,125,0,2019-06-12 10-59-31,132,0,2019-06-12 10-59-31,129,0,2019-06-12 10-59-31,117,0,
2019-06-12 10-59-33,128,0,2019-06-12 10-59-32,133,0,2019-06-12 10-59-32,132,0,2019-06-12 10-59-33,117,0,
2019-06-12 10-59-34,130,0,2019-06-12 10-59-33,133,0,2019-06-12 10-59-33,133,0,2019-06-12 10-59-34,116,0,
2019-06-12 10-59-35,130,0,2019-06-12 10-59-34,134,0,2019-06-12 10-59-34,134,0,2019-06-12 10-59-34,116,0,
2019-06-12 10-59-36,132,0,2019-06-12 10-59-35,134,0,2019-06-12 10-59-35,134,0,2019-06-12 10-59-35,115,0,
2019-06-12 10-59-37,133,0,2019-06-12 10-59-36,134,0,2019-06-12 10-59-36,135,0,2019-06-12 10-59-37,115,0,
2019-06-12 10-59-38,133,0,2019-06-12 10-59-37,134,0,2019-06-12 10-59-37,134,0,2019-06-12 10-59-37,114,0,
2019-06-12 10-59-39,132,0,2019-06-12 10-59-38,133,0,2019-06-12 10-59-38,133,0,2019-06-12 10-59-38,114,0,
2019-06-12 10-59-40,131,0,2019-06-12 10-59-39,134,0,2019-06-12 10-59-39,132,0,2019-06-12 10-59-39,113,0,
2019-06-12 10-59-41,131,0,2019-06-12 10-59-40,134,0,2019-06-12 10-59-40,132,0,2019-06-12 10-59-40,116,0,
2019-06-12 10-59-42,130,0,2019-06-12 10-59-41,134,0,2019-06-12 10-59-41,133,0,2019-06-12 10-59-41,115,0,
2019-06-12 10-59-43,130,0,2019-06-12 10-59-42,134,0,2019-06-12 10-59-42,133,0,2019-06-12 10-59-42,115,0,
2019-06-12 10-59-44,130,0,2019-06-12 10-59-43,134,0,2019-06-12 10-59-43,132,0,2019-06-12 10-59-43,114,0,
2019-06-12 10-59-45,131,0,2019-06-12 10-59-44,134,0,2019-06-12 10-59-44,132,0,2019-06-12 10-59-44,117,0,
2019-06-12 10-59-46,133,0,2019-06-12 10-59-45,134,0,2019-06-12 10-59-45,131,0,2019-06-12 10-59-45,117,0,
2019-06-12 10-59-47,132,0,2019-06-12 10-59-46,133,0,2019-06-12 10-59-46,131,0,2019-06-12 10-59-46,118,0,
2019-06-12 10-59-47,132,0,2019-06-12 10-59-47,132,0,2019-06-12 10-59-47,131,0,2019-06-12 10-59-47,121,0,
2019-06-12 10-59-48,131,0,2019-06-12 10-59-48,133,0,2019-06-12 10-59-48,130,0,2019-06-12 10-59-48,122,0,
2019-06-12 10-59-49,131,0,2019-06-12 10-59-49,133,0,2019-06-12 10-59-49,130,0,2019-06-12 10-59-49,122,0,
2019-06-12 10-59-50,131,0,2019-06-12 10-59-50,132,0,2019-06-12 10-59-50,130,0,2019-06-12 10-59-50,123,0,
2019-06-12 10-59-51,131,0,2019-06-12 10-59-51,133,0,2019-06-12 10-59-51,129,0,2019-06-12 10-59-51,123,0,
