Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,Fitbeans,
TIME,HR,CPM,TIME,HR,CPM,TIME,HR,CPM,TIME,HR,CPM,
2019-06-12 11-20-02,93,0,2019-06-12 11-20-03,91,0,2019-06-12 11-20-03,92,0,2019-06-12 11-20-02,92,0,
2019-06-12 11-20-03,93,0,2019-06-12 11-20-04,91,0,2019-06-12 11-20-04,92,0,2019-06-12 11-20-03,92,0,
2019-06-12 11-20-04,93,0,2019-06-12 11-20-05,90,0,2019-06-12 11-20-05,91,0,2019-06-12 11-20-04,92,0,
2019-06-12 11-20-05,93,0,2019-06-12 11-20-06,90,0,2019-06-12 11-20-06,91,0,2019-06-12 11-20-05,91,0,
2019-06-12 11-20-06,92,0,2019-06-12 11-20-07,90,0,2019-06-12 11-20-07,90,0,2019-06-12 11-20-06,91,0,
2019-06-12 11-20-07,92,0,2019-06-12 11-20-08,89,0,2019-06-12 11-20-08,90,0,2019-06-12 11-20-07,92,0,
2019-06-12 11-20-08,91,0,2019-06-12 11-20-09,89,0,2019-06-12 11-20-09,90,0,2019-06-12 11-20-08,92,0,
2019-06-12 11-20-09,92,0,2019-06-12 11-20-10,90,0,2019-06-12 11-20-10,89,0,2019-06-12 11-20-09,93,0,
2019-06-12 11-20-10,92,0,2019-06-12 11-20-11,90,0,2019-06-12 11-20-11,89,0,2019-06-12 11-20-10,92,0,
2019-06-12 11-20-11,92,0,2019-06-12 11-20-12,90,0,2019-06-12 11-20-12,90,0,2019-06-12 11-20-11,94,0,
2019-06-12 11-20-12,93,0,2019-06-12 11-20-13,91,0,2019-06-12 11-20-13,91,0,2019-06-12 11-20-12,94,0,
2019-06-12 11-20-13,93,0,2019-06-12 11-20-14,92,0,2019-06-12 11-20-14,91,0,2019-06-12 11-20-13,94,0,
2019-06-12 11-20-14,93,0,2019-06-12 11-20-15,92,0,2019-06-12 11-20-15,92,0,2019-06-12 11-20-14,94,0,
2019-06-12 11-20-15,94,0,2019-06-12 11-20-16,92,0,2019-06-12 11-20-16,92,0,2019-06-12 11-20-15,94,0,
2019-06-12 11-20-16,94,0,2019-06-12 11-20-17,93,0,2019-06-12 11-20-17,93,0,2019-06-12 11-20-16,95,0,
2019-06-12 11-20-17,95,0,2019-06-12 11-20-18,94,0,2019-06-12 11-20-18,94,0,2019-06-12 11-20-17,96,0,
2019-06-12 11-20-18,96,0,2019-06-12 11-20-19,95,0,2019-06-12 11-20-19,96,0,2019-06-12 11-20-18,97,0,
2019-06-12 11-20-19,97,0,2019-06-12 11-20-20,96,0,2019-06-12 11-20-20,97,0,2019-06-12 11-20-19,97,0,
2019-06-12 11-20-20,98,0,2019-06-12 11-20-21,97,0,2019-06-12 11-20-21,97,0,2019-06-12 11-20-20,98,0,
2019-06-12 11-20-21,98,0,2019-06-12 11-20-22,98,0,2019-06-12 11-20-22,96,0,2019-06-12 11-20-21,98,0,
2019-06-12 11-20-22,99,0,2019-06-12 11-20-23,98,0,2019-06-12 11-20-23,96,0,2019-06-12 11-20-22,98,0,
2019-06-12 11-24-49,140,0,2019-06-12 11-24-49,140,0,2019-06-12 11-24-49,140,0,2019-06-12 11-24-49,137,0,
2019-06-12 11-24-50,139,0,2019-06-12 11-24-50,141,0,2019-06-12 11-24-50,141,0,2019-06-12 11-24-50,142,0,
2019-06-12 11-24-51,139,0,2019-06-12 11-24-51,140,0,2019-06-12 11-24-51,140,0,2019-06-12 11-24-51,141,0,
2019-06-12 11-24-52,139,0,2019-06-12 11-24-52,139,0,2019-06-12 11-24-52,140,0,2019-06-12 11-24-52,141,0,
2019-06-12 11-24-54,142,0,2019-06-12 11-24-54,143,0,2019-06-12 11-24-53,141,0,2019-06-12 11-24-53,143,0,
2019-06-12 11-24-55,142,0,2019-06-12 11-24-55,143,0,2019-06-12 11-24-54,140,0,2019-06-12 11-24-55,141,0,
2019-06-12 11-24-56,141,0,2019-06-12 11-24-56,142,0,2019-06-12 11-24-55,140,0,2019-06-12 11-24-56,144,0,
2019-06-12 11-24-57,141,0,2019-06-12 11-24-57,142,0,2019-06-12 11-24-56,141,0,2019-06-12 11-24-57,144,0,
2019-06-12 11-24-58,141,0,2019-06-12 11-24-58,142,0,2019-06-12 11-24-57,141,0,2019-06-12 11-24-58,143,0,
2019-06-12 11-24-59,141,0,2019-06-12 11-24-59,142,0,2019-06-12 11-24-58,141,0,2019-06-12 11-24-59,146,0,
2019-06-12 11-25-00,141,0,2019-06-12 11-25-00,142,0,2019-06-12 11-24-59,141,0,2019-06-12 11-25-00,145,0,
2019-06-12 11-25-01,140,0,2019-06-12 11-25-01,141,0,2019-06-12 11-25-00,141,0,2019-06-12 11-25-01,146,0,
2019-06-12 11-25-02,140,0,2019-06-12 11-25-02,141,0,2019-06-12 11-25-01,141,0,2019-06-12 11-25-02,146,0,
2019-06-12 11-25-03,139,0,2019-06-12 11-25-03,140,0,2019-06-12 11-25-02,141,0,2019-06-12 11-25-03,146,0,
2019-06-12 11-25-04,140,0,2019-06-12 11-25-04,141,0,2019-06-12 11-25-03,140,0,2019-06-12 11-25-04,145,0,
2019-06-12 11-25-05,139,0,2019-06-12 11-25-05,140,0,2019-06-12 11-25-04,140,0,2019-06-12 11-25-04,146,0,
2019-06-12 11-25-06,139,0,2019-06-12 11-25-06,140,0,2019-06-12 11-25-05,140,0,2019-06-12 11-25-06,145,0,
2019-06-12 11-25-07,139,0,2019-06-12 11-25-07,140,0,2019-06-12 11-25-06,140,0,2019-06-12 11-25-07,145,0,
2019-06-12 11-25-08,138,0,2019-06-12 11-25-08,140,0,2019-06-12 11-25-07,141,0,2019-06-12 11-25-07,146,0,
2019-06-12 11-25-09,140,0,2019-06-12 11-25-09,140,0,2019-06-12 11-25-08,140,0,2019-06-12 11-25-08,145,0,
2019-06-12 11-25-10,140,0,2019-06-12 11-25-10,140,0,2019-06-12 11-25-09,139,0,2019-06-12 11-25-10,145,0,
2019-06-12 11-25-11,140,0,2019-06-12 11-25-11,141,0,2019-06-12 11-25-10,139,0,2019-06-12 11-25-10,144,0,
2019-06-12 11-25-12,139,0,2019-06-12 11-25-12,140,0,2019-06-12 11-25-11,140,0,2019-06-12 11-25-11,143,0,
2019-06-12 11-25-13,140,0,2019-06-12 11-25-13,139,0,2019-06-12 11-25-12,139,0,2019-06-12 11-25-12,143,0,
2019-06-12 11-25-14,140,0,2019-06-12 11-25-14,140,0,2019-06-12 11-25-13,140,0,2019-06-12 11-25-13,143,0,
2019-06-12 11-25-15,141,0,2019-06-12 11-25-15,140,0,2019-06-12 11-25-14,140,0,2019-06-12 11-25-14,142,0,
2019-06-12 11-25-16,141,0,2019-06-12 11-25-16,139,0,2019-06-12 11-25-15,139,0,2019-06-12 11-25-15,142,0,
2019-06-12 11-25-17,141,0,2019-06-12 11-25-17,139,0,2019-06-12 11-25-16,140,0,2019-06-12 11-25-16,141,0,
2019-06-12 11-25-18,140,0,2019-06-12 11-25-18,138,0,2019-06-12 11-25-17,141,0,2019-06-12 11-25-17,140,0,
2019-06-12 11-25-19,140,0,2019-06-12 11-25-19,138,0,2019-06-12 11-25-18,140,0,2019-06-12 11-25-18,140,0,
2019-06-12 11-25-20,139,0,2019-06-12 11-25-20,138,0,2019-06-12 11-25-19,139,0,2019-06-12 11-25-19,140,0,
2019-06-12 11-25-21,139,0,2019-06-12 11-25-21,137,0,2019-06-12 11-25-20,139,0,2019-06-12 11-25-20,139,0,
2019-06-12 11-25-22,138,0,2019-06-12 11-25-22,137,0,2019-06-12 11-25-21,138,0,2019-06-12 11-25-21,139,0,
2019-06-12 11-25-23,138,0,2019-06-12 11-25-23,137,0,2019-06-12 11-25-22,138,0,2019-06-12 11-25-22,138,0,
2019-06-12 11-25-24,138,0,2019-06-12 11-25-24,137,0,2019-06-12 11-25-23,138,0,2019-06-12 11-25-23,138,0,
2019-06-12 11-25-25,137,0,2019-06-12 11-25-25,137,0,2019-06-12 11-25-24,137,0,2019-06-12 11-25-24,138,0,
